CoastalAerosol,Blue,Green,Red,RedEdge1,RedEdge2,RedEdge3,NIR,NarrowNIR,WaterVapour,SWIR1,SWIR2,Pond,Coincidence,Season,Date of Capture,pH,Salinity,Carbonate,BiCarbonate,Alkalinity,Hardness,Calcium,Magnesium,Ammonia,Nitrite,id,coordinates,type,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,start_date,end_date,chlorophyll,ndwi,turbidity,awei,mndwi,ndvi,diff_healthy_coastalAerosol,diff_healthy_blue,diff_healthy_green,diff_healthy_red,diff_healthy_rededge1,diff_healthy_rededge2,diff_healthy_rededge3,diff_healthy_nir,diff_healthy_narrownir,diff_healthy_watervapour,diff_healthy_swir1,diff_healthy_swir2
0.172295951,0.185420776,0.206810655,0.182722835,0.190849166,0.168775686,0.174955977,0.15556712,0.173155113,0.266922706,0.202033334,0.188815246,T_B1,2,1,25-04-2023,8.2,27,20,130,150,5400,340,1121,0.02,0,7,"[[[80.1457225472044, 14.021888543452945], [80.14579439316418, 14.021299036015279], [80.14648000888741, 14.021544000438453], [80.14615157021836, 14.022043886377176], [80.1457225472044, 14.021888543452945]]]",Polygon,80.14572255,14.02188854,80.14579439,14.02129904,80.14648001,14.021544,80.14615157,14.02204389,24-04-2023,26-04-2023,0.021753054,0.141409156,-0.061837611,-0.522501814,0.011684947,-0.080273489,0.043365264,0.053382398,0.064535908,0.062222629,0.067935308,0.039881513,0.042987298,0.029336246,0.043024002,0.083811024,0.083625187,0.078540602
0.138448511,0.130991884,0.160738572,0.145771566,0.159591037,0.134637243,0.137663716,0.119769309,0.13925248,0.235229957,0.179689506,0.164831176,T_B1,1,1,20-04-2023,7.6,28,0,160,160,5600,358,1142,0.07,0,7,"[[[80.1457225472044, 14.021888543452945], [80.14579439316418, 14.021299036015279], [80.14648000888741, 14.021544000438453], [80.14615157021836, 14.022043886377176], [80.1457225472044, 14.021888543452945]]]",Polygon,80.14572255,14.02188854,80.14579439,14.02129904,80.14648001,14.021544,80.14615157,14.02204389,19-04-2023,21-04-2023,0.045255938,0.146053876,-0.048830378,-0.540458884,-0.055667951,-0.097921863,0.009517824,-0.001046494,0.018463825,0.02527136,0.036677179,0.005743071,0.005695037,-0.006461565,0.009121369,0.052118274,0.061281358,0.054556532
0.175313388,0.162519672,0.191184406,0.181452871,0.222682048,0.203272773,0.210481258,0.190054673,0.20975228,0.333365437,0.209514156,0.189699784,T_B1,0,2,12/9/2022,8.5,32,30,130,160,5300,302,1224,0.02,0,7,"[[[80.1457225472044, 14.021888543452945], [80.14579439316418, 14.021299036015279], [80.14648000888741, 14.021544000438453], [80.14615157021836, 14.022043886377176], [80.1457225472044, 14.021888543452945]]]",Polygon,80.14572255,14.02188854,80.14579439,14.02129904,80.14648001,14.021544,80.14615157,14.02204389,11/9/2022,13-09-2022,0.10201835,0.00296332,-0.026115303,-0.617739111,-0.045744487,0.023153775,0.046382701,0.030481294,0.048909659,0.060952665,0.09976819,0.0743786,0.078512579,0.063823799,0.079621169,0.150253754,0.091106008,0.07942514
0.154230435,0.155029991,0.175420936,0.162692272,0.199352604,0.169813632,0.175455508,0.153354225,0.169086232,0.224508062,0.180961166,0.167902017,T_B1,1,2,28-08-2022,8,30,0,200,200,5600,328,1232,0.02,0,7,"[[[80.1457225472044, 14.021888543452945], [80.14579439316418, 14.021299036015279], [80.14648000888741, 14.021544000438453], [80.14615157021836, 14.022043886377176], [80.1457225472044, 14.021888543452945]]]",Polygon,80.14572255,14.02188854,80.14579439,14.02129904,80.14648001,14.021544,80.14615157,14.02204389,27-08-2022,29-08-2022,0.101259085,0.067117937,-0.037646161,-0.505906086,-0.015545758,-0.029546432,0.025299748,0.022991613,0.033146189,0.042192066,0.076438746,0.04091946,0.043486829,0.027123351,0.038955121,0.04139638,0.062553018,0.057627372
0.197386718,0.183958419,0.205508709,0.197762115,0.22838991,0.208598331,0.214309586,0.197783166,0.217542877,0.297525254,0.227640816,0.204962931,T_B1,1,2,23-08-2022,8.4,30,30,130,160,5500,324,1228,0.03,0,7,"[[[80.1457225472044, 14.021888543452945], [80.14579439316418, 14.021299036015279], [80.14648000888741, 14.021544000438453], [80.14615157021836, 14.022043886377176], [80.1457225472044, 14.021888543452945]]]",Polygon,80.14572255,14.02188854,80.14579439,14.02129904,80.14648001,14.021544,80.14615157,14.02204389,22-08-2022,24-08-2022,0.071870583,0.019156206,-0.019209407,-0.673274923,-0.051095766,5.32E-05,0.068456031,0.051920041,0.063233962,0.07726191,0.105476052,0.079704159,0.082340907,0.071552292,0.087411766,0.114413572,0.109232668,0.094688287
0.173503325,0.169677042,0.192699383,0.186450991,0.217145423,0.20214846,0.20829433,0.190813234,0.208874509,0.239749258,0.213044875,0.189593986,T_B1,2,2,22-09-2022,8.6,37,40,120,160,6500,380,1461,0.01,0,7,"[[[80.1457225472044, 14.021888543452945], [80.14579439316418, 14.021299036015279], [80.14648000888741, 14.021544000438453], [80.14615157021836, 14.022043886377176], [80.1457225472044, 14.021888543452945]]]",Polygon,80.14572255,14.02188854,80.14579439,14.02129904,80.14648001,14.021544,80.14615157,14.02204389,21-09-2022,23-09-2022,0.076052293,0.004918086,-0.016479984,-0.621155129,-0.050143636,0.011562834,0.044572638,0.037638664,0.050424635,0.065950785,0.094231565,0.073254288,0.076325651,0.06458236,0.078743398,0.056637575,0.094636727,0.079319342
0.165951115,0.168019156,0.198027323,0.168284768,0.199274794,0.169590949,0.173193626,0.159538664,0.169173588,0.241351179,0.188502231,0.178149356,T_B2,2,1,25-04-2023,8.2,35,20,140,160,6880,414,1286,0.03,0,6,"[[[80.14494250536484, 14.021709301486823], [80.14506977534847, 14.021109835671382], [80.14559527722076, 14.02127314545055], [80.14552137851916, 14.02183676245508], [80.14494250536484, 14.021709301486823]]]",Polygon,80.14494251,14.0217093,80.14506978,14.02110984,80.14559528,14.02127315,80.14552138,14.02183676,24-04-2023,26-04-2023,0.084312936,0.107640717,-0.081194574,-0.478753935,0.024642595,-0.026679316,0.037020428,0.035980777,0.055752575,0.047784563,0.076360936,0.040696777,0.041224947,0.033307789,0.039042477,0.058239497,0.070094083,0.067874712
0.130628265,0.112559394,0.15886353,0.129947161,0.174082547,0.130779115,0.13252868,0.118021994,0.126478581,0.22215211,0.156007423,0.146389011,T_B2,1,1,20-04-2023,8.5,35,30,140,170,6700,400,1266,0.07,0,6,"[[[80.14494250536484, 14.021709301486823], [80.14506977534847, 14.021109835671382], [80.14559527722076, 14.02127314545055], [80.14552137851916, 14.02183676245508], [80.14494250536484, 14.021709301486823]]]",Polygon,80.14494251,14.0217093,80.14506978,14.02110984,80.14559528,14.02127315,80.14552138,14.02183676,19-04-2023,21-04-2023,0.145168005,0.147503327,-0.100122225,-0.408627836,0.009070723,-0.048091332,0.001697578,-0.019478984,0.016588783,0.009446955,0.051168689,0.001884942,0.000560001,-0.00820888,-0.00365253,0.039040428,0.037599275,0.036114367
0.174680108,0.16214429,0.199292544,0.179507918,0.211900078,0.190113967,0.196150406,0.181229818,0.194514808,0.328998276,0.195493313,0.180244448,T_B2,0,2,12/9/2022,8.4,40,30,140,170,7280,466,1572,0.04,0,6,"[[[80.14494250536484, 14.021709301486823], [80.14506977534847, 14.021109835671382], [80.14559527722076, 14.02127314545055], [80.14552137851916, 14.02183676245508], [80.14494250536484, 14.021709301486823]]]",Polygon,80.14494251,14.0217093,80.14506978,14.02110984,80.14559528,14.02127315,80.14552138,14.02183676,11/9/2022,13-09-2022,0.082758046,0.047468238,-0.052229679,-0.506721682,0.009623523,0.004773275,0.045749421,0.030105912,0.057017797,0.059007712,0.08898622,0.061219794,0.064181728,0.054998944,0.064383697,0.145886593,0.077085166,0.069969804
0.147539998,0.151060916,0.194585376,0.162486301,0.194050037,0.151168936,0.155794143,0.138244072,0.146373615,0.194512191,0.157912789,0.147657702,T_B2,1,2,28-08-2022,8.7,40,50,110,160,7200,442,1571,0.01,0,6,"[[[80.14494250536484, 14.021709301486823], [80.14506977534847, 14.021109835671382], [80.14559527722076, 14.02127314545055], [80.14552137851916, 14.02183676245508], [80.14494250536484, 14.021709301486823]]]",Polygon,80.14494251,14.0217093,80.14506978,14.02110984,80.14559528,14.02127315,80.14552138,14.02183676,27-08-2022,29-08-2022,0.088528806,0.169279807,-0.089895327,-0.281110491,0.104036249,-0.080611177,0.018609311,0.019022538,0.052310629,0.041986095,0.071136179,0.022274764,0.023825465,0.012013198,0.016242504,0.011400508,0.039504642,0.037383058
